Scheme,State,Category,Benefit,Primary Crops
TN Micro Irrigation Scheme,Tamil Nadu,Irrigation,"Up to 100% subsidy for small/marginal farmers, 75% for others","Horticulture, Sugarcane, Coconut"
Precision Farming Development,Tamil Nadu,Horticulture,"Subsidies for drip tech, high-yield seeds, and cluster farming","Vegetables, Fruits, Flowers"
Uzhavar Sandhai,Tamil Nadu,Market,Direct farmer-to-consumer markets with zero middleman fees,"Vegetables, Fruits"
Kalaignarin All Village Integrated Agriculture Development Programme,Tamil Nadu,Agriculture,"Fallow land reclamation, free coconut seedlings, and water source creation","All Crops, Coconut"
Chief Minister's Mannuyir Kaathu Mannuyir Kaappom Scheme,Tamil Nadu,Soil Health,Financial aid for green manure seeds and organic carbon revival,"Paddy, Pulses, Millets"
Tamil Nadu Millet Mission,Tamil Nadu,Promotion,"High-yielding seeds, cluster demonstrations, and value-addition setups","Jowar, Bajra, Ragi, Minor Millets"
Special Package Scheme for Kuruvai Cultivation,Tamil Nadu,Production Support,Fertilizer subsidies and alternative crop packages for the Kuruvai season,"Paddy, Alternative Pulses"
Agricultural Machinery Custom Hiring Centers,Tamil Nadu,Mechanization,Setting up community hiring centers with 40% to 50% state subsidy,All Crops
e-Vaadagai (Agricultural Engineering Dept),Tamil Nadu,Mechanization,"Low-cost rental portal for tractors, laser levelers, and harvest machinery",All Crops
Tamil Nadu Oilseeds Mission,Tamil Nadu,Oilseeds Promotion,Incentives for advanced production tech and certified seed hubs,"Groundnut, Gingelly, Castor"
Palmyrah Development Mission,Tamil Nadu,Agro-Forestry,Distribution of free palm seeds and value-addition training for products,Palm
Redgram Area Expansion Mission,Tamil Nadu,Pulses Promotion,Focus on transplanted Redgram tech and seed processing support,Redgram (Pulses)
Tamil Nadu Organic Farming Clusters Scheme,Tamil Nadu,Organic Farming,Financial aid for group certification and bio-input production hubs,"Organic Fruits, Vegetables, Grains"
State Crop Insurance Premium Support,Tamil Nadu,Insurance,State-share funding top-up to cover farmers under weather hazards,"Paddy, Banana, Turmeric, Onion"
State Sugarcane Incentive Scheme,Tamil Nadu,Price Support,Special state incentive bonus paid over and above the Central FRP,Sugarcane
Cooperative Crop Loan Scheme,Tamil Nadu,Credit Support,Interest-free short-term crop loans provided through cooperative banks,All Crops
Agri-Graduates Entrepreneurship Scheme,Tamil Nadu,Employment,Subsidies for agricultural graduates to set up custom service centers,All Crops
Traditional Vegetable Cultivation Promotion,Tamil Nadu,Horticulture,Incentives for conserving and growing local heritage vegetable varieties,"Local Brinjal, Tomato, Lady's Finger"
TN Micro Irrigation Scheme,Tamil Nadu,Irrigation,"Up to 100% subsidy for small/marginal farmers, 75% for others","Horticulture, Sugarcane, Coconut"
Precision Farming Development,Tamil Nadu,Horticulture,"Subsidies for drip tech, high-yield seeds, and cluster farming","Vegetables, Fruits, Flowers"
Uzhavar Sandhai,Tamil Nadu,Market,Direct farmer-to-consumer markets with zero middleman fees,"Vegetables, Fruits"
Kalaignarin All Village Integrated Agriculture Development Programme,Tamil Nadu,Agriculture,"Fallow land reclamation, free coconut seedlings, and water source creation","All Crops, Coconut"
Chief Minister's Mannuyir Kaathu Mannuyir Kaappom Scheme,Tamil Nadu,Soil Health,Financial aid for green manure seeds and organic carbon revival,"Paddy, Pulses, Millets"
Tamil Nadu Millet Mission,Tamil Nadu,Promotion,"High-yielding seeds, cluster demonstrations, and value-addition setups","Jowar, Bajra, Ragi, Minor Millets"
Special Package Scheme for Kuruvai Cultivation,Tamil Nadu,Production Support,Fertilizer subsidies and alternative crop packages for the Kuruvai season,"Paddy, Alternative Pulses"
Agricultural Machinery Custom Hiring Centers,Tamil Nadu,Mechanization,Setting up community hiring centers with 40% to 50% state subsidy,All Crops
e-Vaadagai (Agricultural Engineering Dept),Tamil Nadu,Mechanization,"Low-cost rental portal for tractors, laser levelers, and harvest machinery",All Crops
Tamil Nadu Oilseeds Mission,Tamil Nadu,Oilseeds Promotion,Incentives for advanced production tech and certified seed hubs,"Groundnut, Gingelly, Castor"
Palmyrah Development Mission,Tamil Nadu,Agro-Forestry,Distribution of free palm seeds and value-addition training for products,Palm
Redgram Area Expansion Mission,Tamil Nadu,Pulses Promotion,Focus on transplanted Redgram tech and seed processing support,Redgram (Pulses)
Tamil Nadu Organic Farming Clusters Scheme,Tamil Nadu,Organic Farming,Financial aid for group certification and bio-input production hubs,"Organic Fruits, Vegetables, Grains"
State Crop Insurance Premium Support,Tamil Nadu,Insurance,State-share funding top-up to cover farmers under weather hazards,"Paddy, Banana, Turmeric, Onion"
State Sugarcane Incentive Scheme,Tamil Nadu,Price Support,Special state incentive bonus paid over and above the Central FRP,Sugarcane
Cooperative Crop Loan Scheme,Tamil Nadu,Credit Support,Interest-free short-term crop loans provided through cooperative banks,All Crops
Agri-Graduates Entrepreneurship Scheme,Tamil Nadu,Employment,Subsidies for agricultural graduates to set up custom service centers,All Crops
Traditional Vegetable Cultivation Promotion,Tamil Nadu,Horticulture,Incentives for conserving and growing local heritage vegetable varieties,"Local Brinjal, Tomato, Lady's Finger"
